city,temperature,humidity,rainfall_mm,date
Nagoya,25.242608139724133,60.884068862918475,2.207166189586289,2024-01-01
Tokyo,20.84524941794481,74.77530081055262,2.183147243924161,2024-01-02
Nagoya,26.352284128899193,48.58310885866495,8.817481254885438,2024-01-03
Nagoya,24.748809452754315,58.06340540720282,7.786430081345391,2024-01-04
Tokyo,23.80525976566795,52.831776793971954,1.8393716297835185,2024-01-05
Tokyo,20.46218168979201,41.3346338292694,12.254755242514166,2024-01-06
Nagoya,22.116143347158335,59.17319314157301,15.268397969230026,2024-01-07
Osaka,28.77695612912878,58.78252491616716,1.978137348938951,2024-01-08
Nagoya,27.504585938121902,75.13449743242131,2.1880690356209325,2024-01-09
Nagoya,20.112223776007244,66.30811684554777,3.5223972788543008,2024-01-10
Nagoya,25.49666152714613,49.758131756707954,14.161338022406763,2024-01-11
Nagoya,28.756935616858947,78.54092566334188,10.450265554463936,2024-01-12
Tokyo,16.652973594393142,72.21033695525352,0.5410894290702714,2024-01-13
Nagoya,27.716800961899676,65.82097703468615,2.4939150011702385,2024-01-14
Osaka,21.686881205270765,57.73515901150168,4.030137157340868,2024-01-15
Tokyo,27.852993342965796,50.405607632765204,3.4971591639203408,2024-01-16
Osaka,21.183704217287417,56.27793223928947,1.0775083000408872,2024-01-17
Osaka,15.975589496677404,70.88748619704185,9.788483684779266,2024-01-18
Osaka,16.862287810584185,78.84586305934609,5.649598190940283,2024-01-19
Osaka,25.24042473330691,75.43243528272188,9.097967581497205,2024-01-20
Tokyo,26.29861250860741,55.11150578213726,9.786625034027141,2024-01-21
Tokyo,20.478416874477958,48.80382566710989,6.898696535848757,2024-01-22
Osaka,28.19296229388687,61.40886246911204,2.892049236190386,2024-01-23
Osaka,16.6923996886552,42.31560634437149,4.715057297135249,2024-01-24
Tokyo,24.66960100676342,63.23167714184781,0.873942445366517,2024-01-25
Tokyo,18.944919001187717,58.52397413701331,5.598854061247785,2024-01-26
Tokyo,21.740819460989204,55.33963498131758,0.9877034469695107,2024-01-27
Nagoya,25.23699335658207,44.05296932733204,5.920027268512381,2024-01-28
Nagoya,20.69793317358024,65.13600106569717,1.3042151555503232,2024-01-29
Nagoya,23.077222278850872,54.672991603380886,0.6252731117308141,2024-01-30
Osaka,30.0314640460722,48.30083164289712,0.9033215947152424,2024-01-31
Nagoya,22.115540652384254,31.277377867183507,0.00997061079855313,2024-02-01
Osaka,29.17846056032571,59.724850949493636,6.34237205923132,2024-02-02
Osaka,19.351465726711908,77.72251596669744,6.591329354919006,2024-02-03
Nagoya,27.649020889576413,76.6125921454787,3.6173448731352558,2024-02-04
Osaka,32.207843103289505,55.429037434137285,0.8798854342037745,2024-02-05
Nagoya,12.641777499363553,53.97787939638219,0.43626250762010454,2024-02-06
Nagoya,21.015523722647615,64.68774256075024,0.09657146158574832,2024-02-07
Tokyo,27.8853606359027,50.016145608117085,0.9060998805753395,2024-02-08
Nagoya,23.984773069785035,63.01791899819466,11.075414535748173,2024-02-09
Tokyo,26.855729366856544,67.6608027838469,1.3823052658091772,2024-02-10
Nagoya,21.980074066420897,72.26933223884308,2.186879373005469,2024-02-11
Nagoya,25.4329489373645,58.99845923520047,0.5565882570548336,2024-02-12
Tokyo,24.221613823039604,57.96326249823034,1.2574663233084151,2024-02-13
Tokyo,30.838910308299035,51.22017413243439,3.661775005095822,2024-02-14
Nagoya,26.272104216506065,51.7311964596014,4.679313638308699,2024-02-15
Osaka,26.68801331037601,57.73521108098473,1.4075213996189349,2024-02-16
Tokyo,22.940615169387662,63.67365506816178,0.2973285639384077,2024-02-17
Osaka,22.561968879637533,69.13584626233249,2.479954925116879,2024-02-18
Osaka,22.837209060901895,51.96821049319655,1.3341932089252793,2024-02-19
Osaka,26.972260711891483,74.92688568959522,1.2394481473601149,2024-02-20
Tokyo,22.895077595898684,57.28876398957431,16.077258807530036,2024-02-21
Osaka,26.448874284482066,59.78632705651564,4.789477740754984,2024-02-22
Tokyo,35.37700399322719,52.527883208521764,4.069555759654726,2024-02-23
Osaka,29.355623517158463,35.75759739727059,2.6873463678898757,2024-02-24
Nagoya,23.369882339160796,68.8404539636105,2.8013429223173603,2024-02-25
Nagoya,31.006069610819722,67.36843897092433,3.8924906350990818,2024-02-26
Tokyo,22.959623134892244,57.18672442881787,5.960712084619026,2024-02-27
Nagoya,14.80937732411073,60.66990717224872,6.055760841675229,2024-02-28
Nagoya,19.95956844541298,65.159392177041,0.9418625811311385,2024-02-29
Osaka,15.646040394870722,44.374541431134574,3.4668635507154195,2024-03-01
Tokyo,23.24243257979346,54.70947322653705,2.6547853333703615,2024-03-02
Osaka,25.092091895947757,67.94264679621827,10.221413266333093,2024-03-03
Osaka,33.382186561376415,47.45710576830751,4.99047283861855,2024-03-04
Osaka,26.634636868820813,62.935579321666296,3.801823142536145,2024-03-05
Osaka,23.90449735595568,46.43418195376595,0.6130682839680344,2024-03-06
Osaka,29.147027905917447,64.66429982433526,4.6524286456636785,2024-03-07
Osaka,13.944323454960575,59.643585177025166,0.6233051440267388,2024-03-08
Osaka,26.178072790542828,43.848681840944906,2.0564595718436522,2024-03-09
Tokyo,28.854325969434832,71.64739354457171,0.7706648613371263,2024-03-10
Nagoya,17.607068771100792,52.65408423201951,5.889473191581443,2024-03-11
Osaka,30.718770216034645,51.89747562985619,1.1549469593972321,2024-03-12
Osaka,26.69248203747207,62.00569197230943,2.4867456483084243,2024-03-13
Osaka,22.923560430495993,71.48637349428715,11.30121060443565,2024-03-14
Osaka,28.163909330531425,49.841781810216034,1.1427681936507676,2024-03-15
Osaka,36.35346428902198,60.61679849847972,3.544402147474845,2024-03-16
